PERMNO;HdrCUSIP;Ticker;PERMCO;DlyCalDt;DlyRet
14542;02079K10;GOOG;45483;2-1-2020;0.0227
14542;02079K10;GOOG;45483;3-1-2020;-0.004907
14542;02079K10;GOOG;45483;6-1-2020;0.024657
14542;02079K10;GOOG;45483;7-1-2020;-0.000624
14542;02079K10;GOOG;45483;8-1-2020;0.00788
14542;02079K10;GOOG;45483;9-1-2020;0.011044
14542;02079K10;GOOG;45483;10-1-2020;0.006973
14542;02079K10;GOOG;45483;13-1-2020;0.006645
14542;02079K10;GOOG;45483;14-1-2020;-0.005802
14542;02079K10;GOOG;45483;15-1-2020;0.005815
14542;02079K10;GOOG;45483;16-1-2020;0.008685
14542;02079K10;GOOG;45483;17-1-2020;0.019763
14542;02079K10;GOOG;45483;21-1-2020;0.002709
14542;02079K10;GOOG;45483;22-1-2020;0.001044
14542;02079K10;GOOG;45483;23-1-2020;0.000471
14542;02079K10;GOOG;45483;24-1-2020;-0.013413
14542;02079K10;GOOG;45483;27-1-2020;-0.02237
14542;02079K10;GOOG;45483;28-1-2020;0.013013
14542;02079K10;GOOG;45483;29-1-2020;0.004179
14542;02079K10;GOOG;45483;30-1-2020;-0.001913
14542;02079K10;GOOG;45483;31-1-2020;-0.014844
14542;02079K10;GOOG;45483;3-2-2020;0.036054
14542;02079K10;GOOG;45483;4-2-2020;-0.026159
14542;02079K10;GOOG;45483;5-2-2020;0.000802
14542;02079K10;GOOG;45483;6-2-2020;0.019334
14542;02079K10;GOOG;45483;7-2-2020;0.002032
14542;02079K10;GOOG;45483;10-2-2020;0.019909
14542;02079K10;GOOG;45483;11-2-2020;0.000073
14542;02079K10;GOOG;45483;12-2-2020;0.006283
14542;02079K10;GOOG;45483;13-2-2020;-0.002378
14542;02079K10;GOOG;45483;14-2-2020;0.004014
14542;02079K10;GOOG;45483;18-2-2020;-0.000704
14542;02079K10;GOOG;45483;19-2-2020;0.004619
14542;02079K10;GOOG;45483;20-2-2020;-0.005594
14542;02079K10;GOOG;45483;21-2-2020;-0.021763
14542;02079K10;GOOG;45483;24-2-2020;-0.042771
14542;02079K10;GOOG;45483;25-2-2020;-0.023312
14542;02079K10;GOOG;45483;26-2-2020;0.003407
14542;02079K10;GOOG;45483;27-2-2020;-0.053898
14542;02079K10;GOOG;45483;28-2-2020;0.016114
14542;02079K10;GOOG;45483;2-3-2020;0.037168
14542;02079K10;GOOG;45483;3-3-2020;-0.034353
14542;02079K10;GOOG;45483;4-3-2020;0.033644
14542;02079K10;GOOG;45483;5-3-2020;-0.048669
14542;02079K10;GOOG;45483;6-3-2020;-0.01564
14542;02079K10;GOOG;45483;9-3-2020;-0.063809
14542;02079K10;GOOG;45483;10-3-2020;0.053333
14542;02079K10;GOOG;45483;11-3-2020;-0.05075
14542;02079K10;GOOG;45483;12-3-2020;-0.082688
14542;02079K10;GOOG;45483;13-3-2020;0.094017
14542;02079K10;GOOG;45483;16-3-2020;-0.111008
14542;02079K10;GOOG;45483;17-3-2020;0.032711
14542;02079K10;GOOG;45483;18-3-2020;-0.020539
14542;02079K10;GOOG;45483;19-3-2020;0.016858
14542;02079K10;GOOG;45483;20-3-2020;-0.038528
14542;02079K10;GOOG;45483;23-3-2020;-0.014641
14542;02079K10;GOOG;45483;24-3-2020;0.073669
14542;02079K10;GOOG;45483;25-3-2020;-0.028181
14542;02079K10;GOOG;45483;26-3-2020;0.053751
14542;02079K10;GOOG;45483;27-3-2020;-0.043934
14542;02079K10;GOOG;45483;30-3-2020;0.032511
14542;02079K10;GOOG;45483;31-3-2020;0.013943
14542;02079K10;GOOG;45483;1-4-2020;-0.049183
14542;02079K10;GOOG;45483;2-4-2020;0.013766
14542;02079K10;GOOG;45483;3-4-2020;-0.020485
14542;02079K10;GOOG;45483;6-4-2020;0.081102
14542;02079K10;GOOG;45483;7-4-2020;-0.000345
14542;02079K10;GOOG;45483;8-4-2020;0.020034
14542;02079K10;GOOG;45483;9-4-2020;0.000967
14542;02079K10;GOOG;45483;13-4-2020;0.005044
14542;02079K10;GOOG;45483;14-4-2020;0.042437
14542;02079K10;GOOG;45483;15-4-2020;-0.005326
14542;02079K10;GOOG;45483;16-4-2020;0.000792
14542;02079K10;GOOG;45483;17-4-2020;0.015655
14542;02079K10;GOOG;45483;20-4-2020;-0.012967
14542;02079K10;GOOG;45483;21-4-2020;-0.039689
14542;02079K10;GOOG;45483;22-4-2020;0.038534
14542;02079K10;GOOG;45483;23-4-2020;0.01037
14542;02079K10;GOOG;45483;24-4-2020;0.002351
14542;02079K10;GOOG;45483;27-4-2020;-0.002681
14542;02079K10;GOOG;45483;28-4-2020;-0.033083
14542;02079K10;GOOG;45483;29-4-2020;0.08739
14542;02079K10;GOOG;45483;30-4-2020;0.005352
14542;02079K10;GOOG;45483;1-5-2020;-0.020798
14542;02079K10;GOOG;45483;4-5-2020;0.004687
14542;02079K10;GOOG;45483;5-5-2020;0.018322
14542;02079K10;GOOG;45483;6-5-2020;-0.00282
14542;02079K10;GOOG;45483;7-5-2020;0.018749
14542;02079K10;GOOG;45483;8-5-2020;0.011519
14542;02079K10;GOOG;45483;11-5-2020;0.010725
14542;02079K10;GOOG;45483;12-5-2020;-0.019611
14542;02079K10;GOOG;45483;13-5-2020;-0.019197
14542;02079K10;GOOG;45483;14-5-2020;0.00504
14542;02079K10;GOOG;45483;15-5-2020;0.01258
14542;02079K10;GOOG;45483;18-5-2020;0.007828
14542;02079K10;GOOG;45483;19-5-2020;-0.007555
14542;02079K10;GOOG;45483;20-5-2020;0.024198
14542;02079K10;GOOG;45483;21-5-2020;-0.002787
14542;02079K10;GOOG;45483;22-5-2020;0.005432
14542;02079K10;GOOG;45483;26-5-2020;0.004679
14542;02079K10;GOOG;45483;27-5-2020;0.000579
14542;02079K10;GOOG;45483;28-5-2020;-0.000783
14542;02079K10;GOOG;45483;29-5-2020;0.008604
14542;02079K10;GOOG;45483;1-6-2020;0.00203
14542;02079K10;GOOG;45483;2-6-2020;0.005168
14542;02079K10;GOOG;45483;3-6-2020;-0.001973
14542;02079K10;GOOG;45483;4-6-2020;-0.016848
14542;02079K10;GOOG;45483;5-6-2020;0.01856
14542;02079K10;GOOG;45483;8-6-2020;0.005715
14542;02079K10;GOOG;45483;9-6-2020;0.006602
14542;02079K10;GOOG;45483;10-6-2020;0.006654
14542;02079K10;GOOG;45483;11-6-2020;-0.042303
14542;02079K10;GOOG;45483;12-6-2020;0.006653
14542;02079K10;GOOG;45483;15-6-2020;0.00472
14542;02079K10;GOOG;45483;16-6-2020;0.016107
14542;02079K10;GOOG;45483;17-6-2020;0.005822
14542;02079K10;GOOG;45483;18-6-2020;-0.010447
14542;02079K10;GOOG;45483;19-6-2020;-0.002953
14542;02079K10;GOOG;45483;22-6-2020;0.014067
14542;02079K10;GOOG;45483;23-6-2020;0.008644
14542;02079K10;GOOG;45483;24-6-2020;-0.022152
14542;02079K10;GOOG;45483;25-6-2020;0.006536
14542;02079K10;GOOG;45483;26-6-2020;-0.056496
14542;02079K10;GOOG;45483;29-6-2020;0.025789
14542;02079K10;GOOG;45483;30-6-2020;0.013362
14542;02079K10;GOOG;45483;1-7-2020;0.017282
14542;02079K10;GOOG;45483;2-7-2020;0.018539
14542;02079K10;GOOG;45483;6-7-2020;0.021165
14542;02079K10;GOOG;45483;7-7-2020;-0.007033
14542;02079K10;GOOG;45483;8-7-2020;0.007285
14542;02079K10;GOOG;45483;9-7-2020;0.01002
14542;02079K10;GOOG;45483;10-7-2020;0.020351
14542;02079K10;GOOG;45483;13-7-2020;-0.019718
14542;02079K10;GOOG;45483;14-7-2020;0.006114
14542;02079K10;GOOG;45483;15-7-2020;-0.004564
14542;02079K10;GOOG;45483;16-7-2020;0.00288
14542;02079K10;GOOG;45483;17-7-2020;-0.001614
14542;02079K10;GOOG;45483;20-7-2020;0.033103
14542;02079K10;GOOG;45483;21-7-2020;-0.004662
14542;02079K10;GOOG;45483;22-7-2020;0.006462
14542;02079K10;GOOG;45483;23-7-2020;-0.033669
14542;02079K10;GOOG;45483;24-7-2020;-0.002514
14542;02079K10;GOOG;45483;27-7-2020;0.012124
14542;02079K10;GOOG;45483;28-7-2020;-0.019514
14542;02079K10;GOOG;45483;29-7-2020;0.01445
14542;02079K10;GOOG;45483;30-7-2020;0.006196
14542;02079K10;GOOG;45483;31-7-2020;-0.031663
14542;02079K10;GOOG;45483;3-8-2020;-0.005739
14542;02079K10;GOOG;45483;4-8-2020;-0.00643
14542;02079K10;GOOG;45483;5-8-2020;0.005898
14542;02079K10;GOOG;45483;6-8-2020;0.017976
14542;02079K10;GOOG;45483;7-8-2020;-0.00374
14542;02079K10;GOOG;45483;10-8-2020;0.001077
14542;02079K10;GOOG;45483;11-8-2020;-0.010547
14542;02079K10;GOOG;45483;12-8-2020;0.017766
14542;02079K10;GOOG;45483;13-8-2020;0.007852
14542;02079K10;GOOG;45483;14-8-2020;-0.00706
14542;02079K10;GOOG;45483;17-8-2020;0.006798
14542;02079K10;GOOG;45483;18-8-2020;0.026759
14542;02079K10;GOOG;45483;19-8-2020;-0.007103
14542;02079K10;GOOG;45483;20-8-2020;0.022113
14542;02079K10;GOOG;45483;21-8-2020;-0.000841
14542;02079K10;GOOG;45483;24-8-2020;0.004923
14542;02079K10;GOOG;45483;25-8-2020;0.012605
14542;02079K10;GOOG;45483;26-8-2020;0.027459
14542;02079K10;GOOG;45483;27-8-2020;-0.010924
14542;02079K10;GOOG;45483;28-8-2020;0.006168
14542;02079K10;GOOG;45483;31-8-2020;-0.006221
14542;02079K10;GOOG;45483;1-9-2020;0.016234
14542;02079K10;GOOG;45483;2-9-2020;0.040687
14542;02079K10;GOOG;45483;3-9-2020;-0.050015
14542;02079K10;GOOG;45483;4-9-2020;-0.030941
14542;02079K10;GOOG;45483;8-9-2020;-0.036863
14542;02079K10;GOOG;45483;9-9-2020;0.016034
14542;02079K10;GOOG;45483;10-9-2020;-0.016018
14542;02079K10;GOOG;45483;11-9-2020;-0.007376
14542;02079K10;GOOG;45483;14-9-2020;-0.000947
14542;02079K10;GOOG;45483;15-9-2020;0.014586
14542;02079K10;GOOG;45483;16-9-2020;-0.013325
14542;02079K10;GOOG;45483;17-9-2020;-0.016681
14542;02079K10;GOOG;45483;18-9-2020;-0.023764
14542;02079K10;GOOG;45483;21-9-2020;-0.019747
14542;02079K10;GOOG;45483;22-9-2020;0.023967
14542;02079K10;GOOG;45483;23-9-2020;-0.03429
14542;02079K10;GOOG;45483;24-9-2020;0.009242
14542;02079K10;GOOG;45483;25-9-2020;0.011671
14542;02079K10;GOOG;45483;28-9-2020;0.013537
14542;02079K10;GOOG;45483;29-9-2020;0.003284
14542;02079K10;GOOG;45483;30-9-2020;0.000184
14542;02079K10;GOOG;45483;1-10-2020;0.013943
14542;02079K10;GOOG;45483;2-10-2020;-0.021254
14542;02079K10;GOOG;45483;5-10-2020;0.018925
14542;02079K10;GOOG;45483;6-10-2020;-0.021924
14542;02079K10;GOOG;45483;7-10-2020;0.004713
14542;02079K10;GOOG;45483;8-10-2020;0.017558
14542;02079K10;GOOG;45483;9-10-2020;0.019712
14542;02079K10;GOOG;45483;12-10-2020;0.035592
14542;02079K10;GOOG;45483;13-10-2020;0.001612
14542;02079K10;GOOG;45483;14-10-2020;-0.002291
14542;02079K10;GOOG;45483;15-10-2020;-0.005708
14542;02079K10;GOOG;45483;16-10-2020;0.008902
14542;02079K10;GOOG;45483;19-10-2020;-0.024412
14542;02079K10;GOOG;45483;20-10-2020;0.013893
14542;02079K10;GOOG;45483;21-10-2020;0.024024
14542;02079K10;GOOG;45483;22-10-2020;0.01382
14542;02079K10;GOOG;45483;23-10-2020;0.015891
14542;02079K10;GOOG;45483;26-10-2020;-0.030804
14542;02079K10;GOOG;45483;27-10-2020;0.008683
14542;02079K10;GOOG;45483;28-10-2020;-0.05463
14542;02079K10;GOOG;45483;29-10-2020;0.033377
14542;02079K10;GOOG;45483;30-10-2020;0.034309
14542;02079K10;GOOG;45483;2-11-2020;0.003097
14542;02079K10;GOOG;45483;3-11-2020;0.014871
14542;02079K10;GOOG;45483;4-11-2020;0.059944
14542;02079K10;GOOG;45483;5-11-2020;0.008141
14542;02079K10;GOOG;45483;6-11-2020;-0.000919
14542;02079K10;GOOG;45483;9-11-2020;0.00071
14542;02079K10;GOOG;45483;10-11-2020;-0.012825
14542;02079K10;GOOG;45483;11-11-2020;0.007079
14542;02079K10;GOOG;45483;12-11-2020;-0.001637
14542;02079K10;GOOG;45483;13-11-2020;0.015533
14542;02079K10;GOOG;45483;16-11-2020;0.002454
14542;02079K10;GOOG;45483;17-11-2020;-0.006304
14542;02079K10;GOOG;45483;18-11-2020;-0.013202
14542;02079K10;GOOG;45483;19-11-2020;0.009812
14542;02079K10;GOOG;45483;20-11-2020;-0.012319
14542;02079K10;GOOG;45483;23-11-2020;-0.004207
14542;02079K10;GOOG;45483;24-11-2020;0.01961
14542;02079K10;GOOG;45483;25-11-2020;0.001442
14542;02079K10;GOOG;45483;27-11-2020;0.012284
14542;02079K10;GOOG;45483;30-11-2020;-0.018096
14542;02079K10;GOOG;45483;1-12-2020;0.021218
14542;02079K10;GOOG;45483;2-12-2020;0.016601
14542;02079K10;GOOG;45483;3-12-2020;-0.000646
14542;02079K10;GOOG;45483;4-12-2020;0.000668
14542;02079K10;GOOG;45483;7-12-2020;-0.004655
14542;02079K10;GOOG;45483;8-12-2020;-0.000511
14542;02079K10;GOOG;45483;9-12-2020;-0.018927
14542;02079K10;GOOG;45483;10-12-2020;-0.004932
14542;02079K10;GOOG;45483;11-12-2020;0.003627
14542;02079K10;GOOG;45483;14-12-2020;-0.012185
14542;02079K10;GOOG;45483;15-12-2020;0.004381
14542;02079K10;GOOG;45483;16-12-2020;-0.002698
14542;02079K10;GOOG;45483;17-12-2020;-0.008565
14542;02079K10;GOOG;45483;18-12-2020;-0.009663
14542;02079K10;GOOG;45483;21-12-2020;0.00483
14542;02079K10;GOOG;45483;22-12-2020;-0.009124
14542;02079K10;GOOG;45483;23-12-2020;0.005152
14542;02079K10;GOOG;45483;24-12-2020;0.003735
14542;02079K10;GOOG;45483;28-12-2020;0.021416
14542;02079K10;GOOG;45483;29-12-2020;-0.00978
14542;02079K10;GOOG;45483;30-12-2020;-0.010917
14542;02079K10;GOOG;45483;31-12-2020;0.007105
14542;02079K10;GOOG;45483;4-1-2021;-0.013494
14542;02079K10;GOOG;45483;5-1-2021;0.007337
14542;02079K10;GOOG;45483;6-1-2021;-0.003234
14542;02079K10;GOOG;45483;7-1-2021;0.029943
14542;02079K10;GOOG;45483;8-1-2021;0.011168
14542;02079K10;GOOG;45483;11-1-2021;-0.022405
14542;02079K10;GOOG;45483;12-1-2021;-0.011417
14542;02079K10;GOOG;45483;13-1-2021;0.004495
14542;02079K10;GOOG;45483;14-1-2021;-0.008105
14542;02079K10;GOOG;45483;15-1-2021;-0.002293
14542;02079K10;GOOG;45483;19-1-2021;0.031488
14542;02079K10;GOOG;45483;20-1-2021;0.053628
14542;02079K10;GOOG;45483;21-1-2021;0.002305
14542;02079K10;GOOG;45483;22-1-2021;0.005182
14542;02079K10;GOOG;45483;25-1-2021;-0.000868
14542;02079K10;GOOG;45483;26-1-2021;0.009392
14542;02079K10;GOOG;45483;27-1-2021;-0.045091
14542;02079K10;GOOG;45483;28-1-2021;0.017654
14542;02079K10;GOOG;45483;29-1-2021;-0.01469
14542;02079K10;GOOG;45483;1-2-2021;0.03574
14542;02079K10;GOOG;45483;2-2-2021;0.013759
14542;02079K10;GOOG;45483;3-2-2021;0.073961
14542;02079K10;GOOG;45483;4-2-2021;-0.00372
14542;02079K10;GOOG;45483;5-2-2021;0.017276
14542;02079K10;GOOG;45483;8-2-2021;-0.002426
14542;02079K10;GOOG;45483;9-2-2021;-0.004491
14542;02079K10;GOOG;45483;10-2-2021;0.005697
14542;02079K10;GOOG;45483;11-2-2021;0.000243
14542;02079K10;GOOG;45483;12-2-2021;0.003922
14542;02079K10;GOOG;45483;16-2-2021;0.008455
14542;02079K10;GOOG;45483;17-2-2021;0.003021
14542;02079K10;GOOG;45483;18-2-2021;-0.00522
14542;02079K10;GOOG;45483;19-2-2021;-0.007585
14542;02079K10;GOOG;45483;22-2-2021;-0.017257
14542;02079K10;GOOG;45483;23-2-2021;0.002896
14542;02079K10;GOOG;45483;24-2-2021;0.011739
14542;02079K10;GOOG;45483;25-2-2021;-0.030456
14542;02079K10;GOOG;45483;26-2-2021;0.002708
14542;02079K10;GOOG;45483;1-3-2021;0.021921
14542;02079K10;GOOG;45483;2-3-2021;-0.002724
14542;02079K10;GOOG;45483;3-3-2021;-0.023668
14542;02079K10;GOOG;45483;4-3-2021;0.011043
14542;02079K10;GOOG;45483;5-3-2021;0.029013
14542;02079K10;GOOG;45483;8-3-2021;-0.040013
14542;02079K10;GOOG;45483;9-3-2021;0.014095
14542;02079K10;GOOG;45483;10-3-2021;0.001135
14542;02079K10;GOOG;45483;11-3-2021;0.02907
14542;02079K10;GOOG;45483;12-3-2021;-0.024991
14542;02079K10;GOOG;45483;15-3-2021;0.002216
14542;02079K10;GOOG;45483;16-3-2021;0.012596
14542;02079K10;GOOG;45483;17-3-2021;-0.000688
14542;02079K10;GOOG;45483;18-3-2021;-0.026235
14542;02079K10;GOOG;45483;19-3-2021;0.003428
14542;02079K10;GOOG;45483;22-3-2021;-0.002256
14542;02079K10;GOOG;45483;23-3-2021;0.007049
14542;02079K10;GOOG;45483;24-3-2021;-0.003848
14542;02079K10;GOOG;45483;25-3-2021;-0.000342
14542;02079K10;GOOG;45483;26-3-2021;-0.004309
14542;02079K10;GOOG;45483;29-3-2021;0.010022
14542;02079K10;GOOG;45483;30-3-2021;-0.000199
14542;02079K10;GOOG;45483;31-3-2021;0.006368
14542;02079K10;GOOG;45483;1-4-2021;0.033413
14542;02079K10;GOOG;45483;5-4-2021;0.041071
14542;02079K10;GOOG;45483;6-4-2021;-0.000359
14542;02079K10;GOOG;45483;7-4-2021;0.011206
14542;02079K10;GOOG;45483;8-4-2021;0.007005
14542;02079K10;GOOG;45483;9-4-2021;0.009023
14542;02079K10;GOOG;45483;12-4-2021;-0.013601
14542;02079K10;GOOG;45483;13-4-2021;0.005535
14542;02079K10;GOOG;45483;14-4-2021;-0.005482
14542;02079K10;GOOG;45483;15-4-2021;0.018547
14542;02079K10;GOOG;45483;16-4-2021;0.000479
14542;02079K10;GOOG;45483;19-4-2021;0.002019
14542;02079K10;GOOG;45483;20-4-2021;-0.003809
14542;02079K10;GOOG;45483;21-4-2021;-0.000148
14542;02079K10;GOOG;45483;22-4-2021;-0.011063
14542;02079K10;GOOG;45483;23-4-2021;0.020891
14542;02079K10;GOOG;45483;26-4-2021;0.004941
14542;02079K10;GOOG;45483;27-4-2021;-0.008432
14542;02079K10;GOOG;45483;28-4-2021;0.03155
14542;02079K10;GOOG;45483;29-4-2021;0.021001
14542;02079K10;GOOG;45483;30-4-2021;-0.008136
14542;02079K10;GOOG;45483;3-5-2021;-0.006203
14542;02079K10;GOOG;45483;4-5-2021;-0.017084
14542;02079K10;GOOG;45483;5-5-2021;0.001058
14542;02079K10;GOOG;45483;6-5-2021;0.010442
14542;02079K10;GOOG;45483;7-5-2021;0.007282
14542;02079K10;GOOG;45483;10-5-2021;-0.023775
14542;02079K10;GOOG;45483;11-5-2021;-0.01405
14542;02079K10;GOOG;45483;12-5-2021;-0.030181
14542;02079K10;GOOG;45483;13-5-2021;0.010223
14542;02079K10;GOOG;45483;14-5-2021;0.023957
14542;02079K10;GOOG;45483;17-5-2021;0.002267
14542;02079K10;GOOG;45483;18-5-2021;-0.007745
14542;02079K10;GOOG;45483;19-5-2021;0.002292
14542;02079K10;GOOG;45483;20-5-2021;0.020522
14542;02079K10;GOOG;45483;21-5-2021;-0.004665
14542;02079K10;GOOG;45483;24-5-2021;0.026255
14542;02079K10;GOOG;45483;25-5-2021;0.000997
14542;02079K10;GOOG;45483;26-5-2021;0.010153
14542;02079K10;GOOG;45483;27-5-2021;-0.012747
14542;02079K10;GOOG;45483;28-5-2021;0.003767
14542;02079K10;GOOG;45483;1-6-2021;0.007568
14542;02079K10;GOOG;45483;2-6-2021;-0.003511
14542;02079K10;GOOG;45483;3-6-2021;-0.006885
14542;02079K10;GOOG;45483;4-6-2021;0.019608
14542;02079K10;GOOG;45483;7-6-2021;0.005845
14542;02079K10;GOOG;45483;8-6-2021;0.006796
14542;02079K10;GOOG;45483;9-6-2021;0.003444
14542;02079K10;GOOG;45483;10-6-2021;0.012122
14542;02079K10;GOOG;45483;11-6-2021;-0.003042
14542;02079K10;GOOG;45483;14-6-2021;0.005215
14542;02079K10;GOOG;45483;15-6-2021;-0.002525
14542;02079K10;GOOG;45483;16-6-2021;-0.00267
14542;02079K10;GOOG;45483;17-6-2021;0.005366
14542;02079K10;GOOG;45483;18-6-2021;-0.006358
14542;02079K10;GOOG;45483;21-6-2021;0.007068
14542;02079K10;GOOG;45483;22-6-2021;0.004306
14542;02079K10;GOOG;45483;23-6-2021;-0.004236
14542;02079K10;GOOG;45483;24-6-2021;0.006488
14542;02079K10;GOOG;45483;25-6-2021;-0.002255
14542;02079K10;GOOG;45483;28-6-2021;-0.001382
14542;02079K10;GOOG;45483;29-6-2021;-0.006316
14542;02079K10;GOOG;45483;30-6-2021;-0.005575
